frame,time_ns,rmsd_nm
0,0.0,0.0
1,0.04,0.1150109
2,0.08,0.125212
3,0.12,0.14288786
4,0.16,0.14357391
5,0.2,0.15777032
6,0.24,0.16631904
7,0.28,0.15490574
8,0.32,0.16073267
9,0.36,0.18312886
10,0.4,0.18003395
11,0.44,0.17801446
12,0.48,0.17676562
13,0.52,0.1756837
14,0.56,0.16250154
15,0.6,0.17561193
16,0.64,0.16458856
17,0.68,0.16556048
18,0.72,0.17132199
19,0.76,0.16346595
20,0.8,0.15920241
21,0.84,0.17144376
22,0.88,0.15921743
23,0.92,0.17332412
24,0.96,0.16534105
25,1.0,0.18195936
26,1.04,0.18737009
27,1.08,0.18575382
28,1.12,0.16893238
29,1.16,0.17489244
30,1.2,0.17890011
31,1.24,0.16300647
32,1.28,0.17647883
33,1.32,0.18140294
34,1.36,0.19249569
35,1.4000000000000001,0.19080321
36,1.44,0.18813778
37,1.48,0.18601814
38,1.52,0.18859367
39,1.56,0.18001463
40,1.6,0.18613964
41,1.6400000000000001,0.17834634
42,1.68,0.18871352
43,1.72,0.19103323
44,1.76,0.18353324
45,1.8,0.17907016
46,1.84,0.18869394
47,1.8800000000000001,0.17658967
48,1.92,0.17313462
49,1.96,0.19070862
50,2.0,0.1912391
51,2.04,0.19966474
52,2.08,0.19518404
53,2.12,0.19517736
54,2.16,0.19855432
55,2.2,0.18447371
56,2.24,0.19417453
57,2.2800000000000002,0.18891272
58,2.32,0.18635675
59,2.36,0.17856805
60,2.4,0.17685415
61,2.44,0.17128138
62,2.48,0.16898127
63,2.52,0.17701757
64,2.56,0.19192904
65,2.6,0.19345665
66,2.64,0.20161404
67,2.68,0.19464755
68,2.72,0.1895228
69,2.7600000000000002,0.19047478
70,2.8000000000000003,0.19121751
71,2.84,0.20570141
72,2.88,0.19520074
73,2.92,0.19706291
74,2.96,0.18630192
75,3.0,0.19127321
76,3.04,0.19267066
77,3.08,0.20360659
78,3.12,0.20248987
79,3.16,0.2003886
80,3.2,0.20816608
81,3.24,0.2019039
82,3.2800000000000002,0.1950403
83,3.3200000000000003,0.20458868
84,3.36,0.20827883
85,3.4,0.2057944
86,3.44,0.21175797
87,3.48,0.20976304
88,3.52,0.19590114
89,3.56,0.19986935
90,3.6,0.1973231
91,3.64,0.20336406
92,3.68,0.20963657
93,3.72,0.21015547
94,3.7600000000000002,0.20938753
95,3.8000000000000003,0.21348086
96,3.84,0.21130474
97,3.88,0.21670307
98,3.92,0.20549946
99,3.96,0.20664726
100,4.0,0.1991567
101,4.04,0.20086646
102,4.08,0.18976697
103,4.12,0.18475516
104,4.16,0.19085449
105,4.2,0.20399168
106,4.24,0.20313302
107,4.28,0.20433243
108,4.32,0.20336941
109,4.36,0.19512834
110,4.4,0.19644415
111,4.44,0.20084806
112,4.48,0.20309022
113,4.5200000000000005,0.21520409
114,4.5600000000000005,0.20998265
115,4.6000000000000005,0.20848018
116,4.64,0.20376776
117,4.68,0.1982146
118,4.72,0.1963711
119,4.76,0.19552235
120,4.8,0.19817293
121,4.84,0.19898525
122,4.88,0.1942831
123,4.92,0.20495602
124,4.96,0.19433904
125,5.0,0.20854273
126,5.04,0.20394479
127,5.08,0.20313089
128,5.12,0.20039728
129,5.16,0.20748612
130,5.2,0.20395544
131,5.24,0.20829448
132,5.28,0.19708388
133,5.32,0.20422707
134,5.36,0.20205458
135,5.4,0.19902785
136,5.44,0.20218365
137,5.48,0.21100615
138,5.5200000000000005,0.20269376
139,5.5600000000000005,0.20140797
140,5.6000000000000005,0.20701304
141,5.64,0.20053066
142,5.68,0.20486265
143,5.72,0.20664936
144,5.76,0.205694
145,5.8,0.20817234
146,5.84,0.20750289
147,5.88,0.20936364
148,5.92,0.21408592
149,5.96,0.21561183
150,6.0,0.21155563
151,6.04,0.217686
152,6.08,0.21963173
153,6.12,0.20387015
154,6.16,0.21666093
155,6.2,0.20660411
156,6.24,0.22079764
157,6.28,0.22100037
158,6.32,0.21189037
159,6.36,0.21499488
160,6.4,0.2187321
161,6.44,0.21867247
162,6.48,0.21970695
163,6.5200000000000005,0.20800413
164,6.5600000000000005,0.21335046
165,6.6000000000000005,0.21247233
166,6.640000000000001,0.22503996
167,6.68,0.21999569
168,6.72,0.21335556
169,6.76,0.21313943
170,6.8,0.21385732
171,6.84,0.21380344
172,6.88,0.20871677
173,6.92,0.21862574
174,6.96,0.2173542
175,7.0,0.21467207
176,7.04,0.20884693
177,7.08,0.2114662
178,7.12,0.2227367
179,7.16,0.20697208
180,7.2,0.20841448
181,7.24,0.21339835
182,7.28,0.20991327
183,7.32,0.2045313
184,7.36,0.20421855
185,7.4,0.21305577
186,7.44,0.2108536
187,7.48,0.20734672
188,7.5200000000000005,0.21412045
189,7.5600000000000005,0.21126151
190,7.6000000000000005,0.2066462
191,7.640000000000001,0.22443826
192,7.68,0.21322204
193,7.72,0.20951623
194,7.76,0.20493375
195,7.8,0.1988694
196,7.84,0.20298634
197,7.88,0.19970176
198,7.92,0.21092063
199,7.96,0.19911522
200,8.0,0.20177141
201,8.040000000000001,0.2110865
202,8.08,0.2007398
203,8.120000000000001,0.20035063
204,8.16,0.20863967
205,8.2,0.20810863
206,8.24,0.2067619
207,8.28,0.20849478
208,8.32,0.2077207
209,8.36,0.21510406
210,8.4,0.2043537
211,8.44,0.20536505
212,8.48,0.20365356
213,8.52,0.19942942
214,8.56,0.2075804
215,8.6,0.19663109
216,8.64,0.20810966
217,8.68,0.19818829
218,8.72,0.19717431
219,8.76,0.19084765
220,8.8,0.19632792
221,8.84,0.20450684
222,8.88,0.20950793
223,8.92,0.20545502
224,8.96,0.20772593
225,9.0,0.20429413
226,9.040000000000001,0.201724
227,9.08,0.20300242
228,9.120000000000001,0.19994111
229,9.16,0.20141876
230,9.200000000000001,0.20057727
231,9.24,0.19132777
232,9.28,0.2031052
233,9.32,0.18669826
234,9.36,0.20749556
235,9.4,0.20485418
236,9.44,0.2031662
237,9.48,0.20687227
238,9.52,0.20939271
239,9.56,0.2041142
240,9.6,0.19342631
241,9.64,0.20306559
242,9.68,0.19690621
243,9.72,0.21079278
244,9.76,0.2062924
245,9.8,0.20671141
246,9.84,0.20168303
247,9.88,0.2027077
248,9.92,0.19898525
249,9.96,0.19304153
250,10.0,0.1925465
251,10.040000000000001,0.19286689
252,10.08,0.19591334
253,10.120000000000001,0.19612628
254,10.16,0.1987524
255,10.200000000000001,0.19306855
256,10.24,0.18512192
257,10.28,0.19711146
258,10.32,0.19651386
259,10.36,0.1922448
260,10.4,0.2023309
261,10.44,0.19219278
262,10.48,0.19558793
263,10.52,0.19004057
264,10.56,0.19667754
265,10.6,0.1836564
266,10.64,0.1911652
267,10.68,0.18744434
268,10.72,0.20203629
269,10.76,0.1977908
270,10.8,0.2083884
271,10.84,0.20908101
272,10.88,0.20757098
273,10.92,0.21953867
274,10.96,0.21283424
275,11.0,0.20721982
276,11.040000000000001,0.20864801
277,11.08,0.20672089
278,11.120000000000001,0.20156766
279,11.16,0.20775105
280,11.200000000000001,0.2109938
281,11.24,0.19423945
282,11.28,0.20102659
283,11.32,0.20059353
284,11.36,0.2116224
285,11.4,0.20789123
286,11.44,0.19442293
287,11.48,0.19493884
288,11.52,0.19918072
289,11.56,0.19707726
290,11.6,0.20053175
291,11.64,0.20056969
292,11.68,0.19312485
293,11.72,0.19760495
294,11.76,0.20043632
295,11.8,0.19729115
296,11.84,0.19235446
297,11.88,0.18359008
298,11.92,0.18712279
299,11.96,0.18537425
300,12.0,0.18778385
301,12.040000000000001,0.20235024
302,12.08,0.21078761
303,12.120000000000001,0.18783478
304,12.16,0.20313196
305,12.200000000000001,0.20302169
306,12.24,0.20329991
307,12.280000000000001,0.20174877
308,12.32,0.20771024
309,12.36,0.19557014
310,12.4,0.1973881
311,12.44,0.19986935
312,12.48,0.19565128
313,12.52,0.20084265
314,12.56,0.20059028
315,12.6,0.20123519
316,12.64,0.19952533
317,12.68,0.20226642
318,12.72,0.20114768
319,12.76,0.19568573
320,12.8,0.201655
321,12.84,0.20236635
322,12.88,0.21684648
323,12.92,0.20565067
324,12.96,0.20066072
325,13.0,0.20913714
326,13.040000000000001,0.19667862
327,13.08,0.19936183
328,13.120000000000001,0.20117576
329,13.16,0.19846123
330,13.200000000000001,0.19904861
331,13.24,0.20486054
332,13.280000000000001,0.20061955
333,13.32,0.20552695
334,13.36,0.19414318
335,13.4,0.2025371
336,13.44,0.2037891
337,13.48,0.2055661
338,13.52,0.2069437
339,13.56,0.21408795
340,13.6,0.21290675
341,13.64,0.20427072
342,13.68,0.195272
343,13.72,0.20154932
344,13.76,0.21694572
345,13.8,0.21232596
346,13.84,0.21607816
347,13.88,0.21273002
348,13.92,0.21312617
349,13.96,0.1997279
350,14.0,0.21152583
351,14.040000000000001,0.20837484
352,14.08,0.2192979
353,14.120000000000001,0.20975994
354,14.16,0.2183989
355,14.200000000000001,0.20166686
356,14.24,0.20302062
357,14.280000000000001,0.21333416
358,14.32,0.21136235
359,14.36,0.21667096
360,14.4,0.21381767
361,14.44,0.22172713
362,14.48,0.20688592
363,14.52,0.20091625
364,14.56,0.20868343
365,14.6,0.20480534
366,14.64,0.20645148
367,14.68,0.20725863
368,14.72,0.20705189
369,14.76,0.19689627
370,14.8,0.20852399
371,14.84,0.2217683
372,14.88,0.21464169
373,14.92,0.21637477
374,14.96,0.22467934
375,15.0,0.21989489
376,15.040000000000001,0.20648728
377,15.08,0.2104759
378,15.120000000000001,0.21174976
379,15.16,0.19896449
380,15.200000000000001,0.19366331
381,15.24,0.19987696
382,15.280000000000001,0.19753233
383,15.32,0.19664767
384,15.36,0.19055124
385,15.4,0.19639766
386,15.44,0.19369474
387,15.48,0.19956346
388,15.52,0.19584675
389,15.56,0.18965581
390,15.6,0.18902546
391,15.64,0.198771
392,15.68,0.1893518
393,15.72,0.19798854
394,15.76,0.19664767
395,15.8,0.21013168
396,15.84,0.20111632
397,15.88,0.19977361
398,15.92,0.19945885
399,15.96,0.19996396
400,16.0,0.20687227
401,16.04,0.20397463
402,16.080000000000002,0.1982497
403,16.12,0.200979
404,16.16,0.18833067
405,16.2,0.19658466
406,16.240000000000002,0.19699231
407,16.28,0.20000635
408,16.32,0.19246632
409,16.36,0.19812356
410,16.4,0.19074623
411,16.44,0.18817592
412,16.48,0.18999366
413,16.52,0.20308273
414,16.56,0.2040684
415,16.6,0.20074521
416,16.64,0.19807526
417,16.68,0.19353978
418,16.72,0.19691393
419,16.76,0.19702762
420,16.8,0.20319723
