frame,time_ns,rg_nm
0,0.0,1.8473122365005694
1,0.04,1.844719092876935
2,0.08,1.8422230588346342
3,0.12,1.8466800824888352
4,0.16,1.8474006938915186
5,0.2,1.839163649698355
6,0.24,1.8463548358978727
7,0.28,1.8496675068339445
8,0.32,1.8487486241194282
9,0.36,1.8516903381590601
10,0.4,1.8567380311292665
11,0.44,1.8559413788223076
12,0.48,1.8476261094787052
13,0.52,1.8432454957667153
14,0.56,1.8470700321717275
15,0.6,1.8475571210320547
16,0.64,1.8544071322326814
17,0.68,1.849515276118103
18,0.72,1.8537832187786203
19,0.76,1.8569707352947704
20,0.8,1.8493891977000276
21,0.84,1.8495781506973235
22,0.88,1.850713750323748
23,0.92,1.8522804243854671
24,0.96,1.8505057764362012
25,1.0,1.8562481487069316
26,1.04,1.8522391630445416
27,1.08,1.858674032289039
28,1.12,1.8561780855949823
29,1.16,1.862990182429918
30,1.2,1.8627303404095583
31,1.24,1.8684177934940083
32,1.28,1.8648284667019295
33,1.32,1.8634089539445244
34,1.36,1.8587236331156172
35,1.4000000000000001,1.8594930745306804
36,1.44,1.858012321980682
37,1.48,1.8620682860028432
38,1.52,1.8549545053164436
39,1.56,1.859401375792573
40,1.6,1.8658606023236097
41,1.6400000000000001,1.861995097591925
42,1.68,1.8570570202390282
43,1.72,1.8539197630991038
44,1.76,1.8587883362358448
45,1.8,1.8576301773684385
46,1.84,1.8603620931687004
47,1.8800000000000001,1.8597332501045427
48,1.92,1.847406259651576
49,1.96,1.8523349806931033
50,2.0,1.8593913454614026
51,2.04,1.852912339484529
52,2.08,1.8593489290053657
53,2.12,1.8624444394817252
54,2.16,1.8645447465668363
55,2.2,1.8600205003742551
56,2.24,1.8664744124975894
57,2.2800000000000002,1.8548845881790303
58,2.32,1.8650791330585095
59,2.36,1.8620167078752927
60,2.4,1.8611594760569428
61,2.44,1.8643626886642672
62,2.48,1.8631626775937395
63,2.52,1.85130550045565
64,2.56,1.861562022677438
65,2.6,1.8589254334203698
66,2.64,1.8602995643333111
67,2.68,1.8683800691324277
68,2.72,1.869772751933531
69,2.7600000000000002,1.8617170314242673
70,2.8000000000000003,1.869339619148049
71,2.84,1.870650058721503
72,2.88,1.867256747042785
73,2.92,1.8664139847976204
74,2.96,1.8661530575961052
75,3.0,1.8657095093164808
76,3.04,1.856831088475116
77,3.08,1.8694966095671444
78,3.12,1.8607682348084256
79,3.16,1.862231042148148
80,3.2,1.8626271335442761
81,3.24,1.8522758699617536
82,3.2800000000000002,1.858066074902952
83,3.3200000000000003,1.8626685093059037
84,3.36,1.8618463816825108
85,3.4,1.8634279868813388
86,3.44,1.8640078620845308
87,3.48,1.8601899314620676
88,3.52,1.8539692433682098
89,3.56,1.8621852138720731
90,3.6,1.8683615702735121
91,3.64,1.8680971113548916
92,3.68,1.85700044198086
93,3.72,1.854492049683136
94,3.7600000000000002,1.8574615407454322
95,3.8000000000000003,1.8621367578163182
96,3.84,1.858390778807978
97,3.88,1.852634667069218
98,3.92,1.8540918435485416
99,3.96,1.8606339194807562
100,4.0,1.8607999210882322
101,4.04,1.8610230509852848
102,4.08,1.8707192270748425
103,4.12,1.8524084394594265
104,4.16,1.855576284210358
105,4.2,1.8583027360932958
106,4.24,1.8589677735086447
107,4.28,1.8571046193880092
108,4.32,1.862390107232997
109,4.36,1.8531735616918688
110,4.4,1.8554675287088487
111,4.44,1.866608108298031
112,4.48,1.8606308907547355
113,4.5200000000000005,1.851735370489982
114,4.5600000000000005,1.8530155450103016
115,4.6000000000000005,1.853248548086743
116,4.64,1.8454602823546646
117,4.68,1.8479190013923852
118,4.72,1.8458901275688167
119,4.76,1.8462080089189872
120,4.8,1.850758847542049
121,4.84,1.8516137878726746
122,4.88,1.8634918164146739
123,4.92,1.8508777599310307
124,4.96,1.8620451545735357
125,5.0,1.8487953241100206
126,5.04,1.8537542412534824
127,5.08,1.8471022373472032
128,5.12,1.8543112129234203
129,5.16,1.857538382961296
130,5.2,1.8569553558582588
131,5.24,1.8480687988956936
132,5.28,1.8540125088424537
133,5.32,1.854394498585693
134,5.36,1.8587442220135915
135,5.4,1.866471680544321
136,5.44,1.8586953877382966
137,5.48,1.8490486400941777
138,5.5200000000000005,1.8567349128816442
139,5.5600000000000005,1.860019088141043
140,5.6000000000000005,1.8453803761380392
141,5.64,1.8558577621479546
142,5.68,1.8600281965781131
143,5.72,1.8538195838997333
144,5.76,1.8547189359568819
145,5.8,1.8533335940032436
146,5.84,1.8598731579845975
147,5.88,1.8545774843313843
148,5.92,1.8558833806215576
149,5.96,1.857460483000253
150,6.0,1.8533454467108104
151,6.04,1.8557656166657865
152,6.08,1.858247029416212
153,6.12,1.859946097844168
154,6.16,1.8583793108448903
155,6.2,1.8533742862720797
156,6.24,1.862295409064997
157,6.28,1.85193335170874
158,6.32,1.8510786888043969
159,6.36,1.855400472191389
160,6.4,1.8567852969570333
161,6.44,1.8602919783120695
162,6.48,1.8563286238708927
163,6.5200000000000005,1.8529228967472302
164,6.5600000000000005,1.8566234468834688
165,6.6000000000000005,1.8590842385176936
166,6.640000000000001,1.84717120599366
167,6.68,1.8567477625257562
168,6.72,1.8561977685366102
169,6.76,1.8548735905491767
170,6.8,1.8566624748537592
171,6.84,1.8566027495548152
172,6.88,1.8586455409790203
173,6.92,1.8518428550149577
174,6.96,1.8558862929063973
175,7.0,1.8583942874619057
176,7.04,1.8613567229738668
177,7.08,1.8692691700977042
178,7.12,1.8607416161278891
179,7.16,1.8635110312379055
180,7.2,1.8599182781793697
181,7.24,1.8567988667301387
182,7.28,1.857463144476331
183,7.32,1.848977736521494
184,7.36,1.851327788717729
185,7.4,1.8572260967002483
186,7.44,1.8491884750328775
187,7.48,1.8514793873712818
188,7.5200000000000005,1.851295277693822
189,7.5600000000000005,1.8536771056467058
190,7.6000000000000005,1.8559031158745891
191,7.640000000000001,1.8529210872237516
192,7.68,1.8515052137382673
193,7.72,1.8468834941804992
194,7.76,1.8451494591247244
195,7.8,1.8520387901008168
196,7.84,1.8536978952948449
197,7.88,1.8478322120625321
198,7.92,1.852755748359199
199,7.96,1.8457295200413322
200,8.0,1.848347682464321
201,8.040000000000001,1.858990758108998
202,8.08,1.8424854305183667
203,8.120000000000001,1.844117467872735
204,8.16,1.85485069464803
205,8.2,1.849723736586867
206,8.24,1.8473266390966505
207,8.28,1.8471349023903163
208,8.32,1.8487686444774725
209,8.36,1.8491241035812844
210,8.4,1.8504579046981013
211,8.44,1.8471150368835385
212,8.48,1.848394290235926
213,8.52,1.8446405598875424
214,8.56,1.8464508017353622
215,8.6,1.8488613398748728
216,8.64,1.8492043047835913
217,8.68,1.8537127226381782
218,8.72,1.8439649362507828
219,8.76,1.8505087583239246
220,8.8,1.854831179409774
221,8.84,1.8581198422068839
222,8.88,1.8518368107699301
223,8.92,1.8458552790826108
224,8.96,1.853728675433686
225,9.0,1.8503649082975595
226,9.040000000000001,1.847838997418756
227,9.08,1.8538568397936668
228,9.120000000000001,1.8559294849703571
229,9.16,1.8525028873328373
230,9.200000000000001,1.8600832354575711
231,9.24,1.8522524531947409
232,9.28,1.8603025895277387
233,9.32,1.8556304752805384
234,9.36,1.862323753802293
235,9.4,1.8562184461016502
236,9.44,1.8574041869940092
237,9.48,1.8628188668377723
238,9.52,1.8567054416213615
239,9.56,1.8583924187249525
240,9.6,1.8513502422945165
241,9.64,1.8569227398081556
242,9.68,1.8586900506115722
243,9.72,1.8529704888337892
244,9.76,1.854628114038182
245,9.8,1.8486811422720673
246,9.84,1.8492209003812021
247,9.88,1.8539686338700532
248,9.92,1.8547996533229825
249,9.96,1.8535883162075333
250,10.0,1.850422541135547
251,10.040000000000001,1.8564718221818322
252,10.08,1.845532537038239
253,10.120000000000001,1.857413362067133
254,10.16,1.84291509099482
255,10.200000000000001,1.8461576725897135
256,10.24,1.8535500124588704
257,10.28,1.8483524624523857
258,10.32,1.8512027724062325
259,10.36,1.8598786729360035
260,10.4,1.8554564776030609
261,10.44,1.8546894726753567
262,10.48,1.8515218943249971
263,10.52,1.8580222067226342
264,10.56,1.8522506659001798
265,10.6,1.8506077842657613
266,10.64,1.8537478090841246
267,10.68,1.8480990894580382
268,10.72,1.8525749636112194
269,10.76,1.858020543691235
270,10.8,1.8501616576255233
271,10.84,1.8500185280459909
272,10.88,1.8598665516604695
273,10.92,1.855709583536448
274,10.96,1.8595428028669707
275,11.0,1.85610200880111
276,11.040000000000001,1.8534943855541481
277,11.08,1.859716636380186
278,11.120000000000001,1.8636905276233915
279,11.16,1.8592102323747746
280,11.200000000000001,1.861298437133737
281,11.24,1.863239765361988
282,11.28,1.8603136846277053
283,11.32,1.8584081161675363
284,11.36,1.8506358516931185
285,11.4,1.8461347019890764
286,11.44,1.8536083283390146
287,11.48,1.8593962365882764
288,11.52,1.856196152158008
289,11.56,1.8566194174400987
290,11.6,1.8590184512079178
291,11.64,1.8551281649964195
292,11.68,1.857942394658698
293,11.72,1.8511239390587715
294,11.76,1.85940153865425
295,11.8,1.854608242406969
296,11.84,1.8596928339424441
297,11.88,1.8521446736302511
298,11.92,1.8645497517975789
299,11.96,1.8538718595256056
300,12.0,1.86467211238802
301,12.040000000000001,1.8552954176356427
302,12.08,1.8640404750218533
303,12.120000000000001,1.8601994763393164
304,12.16,1.8481000470066165
305,12.200000000000001,1.8530563422313073
306,12.24,1.8497152669795796
307,12.280000000000001,1.848564554251638
308,12.32,1.856499003575554
309,12.36,1.8460048674602885
310,12.4,1.841833708519771
311,12.44,1.8458468238044805
312,12.48,1.8502784629199058
313,12.52,1.8501043959706434
314,12.56,1.8542721593601712
315,12.6,1.8518652106843594
316,12.64,1.8488449693703224
317,12.68,1.8456515836955407
318,12.72,1.8492661168866662
319,12.76,1.8428215574923823
320,12.8,1.8491526632442083
321,12.84,1.8445871710620636
322,12.88,1.8508846747258436
323,12.92,1.8490621366519238
324,12.96,1.8470166841621352
325,13.0,1.8435745077682797
326,13.040000000000001,1.8493088914344349
327,13.08,1.85159992221124
328,13.120000000000001,1.8508940124476216
329,13.16,1.857160676530476
330,13.200000000000001,1.8505096930242433
331,13.24,1.8492675031327712
332,13.280000000000001,1.845334452481939
333,13.32,1.8499169129798172
334,13.36,1.8551486345598318
335,13.4,1.8400426011628432
336,13.44,1.8425645190269875
337,13.48,1.8616105393777433
338,13.52,1.8573021548895114
339,13.56,1.8538764013864804
340,13.6,1.8520685231552318
341,13.64,1.8471537984674078
342,13.68,1.8522191735538092
343,13.72,1.849793644004786
344,13.76,1.849677194993232
345,13.8,1.8545768930579047
346,13.84,1.8547963303370292
347,13.88,1.856989567556763
348,13.92,1.8462870494939811
349,13.96,1.850971714009827
350,14.0,1.8492354825082573
351,14.040000000000001,1.8453337758471295
352,14.08,1.8426489459964246
353,14.120000000000001,1.8545507470319431
354,14.16,1.849699423845594
355,14.200000000000001,1.8468998568627881
356,14.24,1.847488914630235
357,14.280000000000001,1.8522354943391957
358,14.32,1.847721768950926
359,14.36,1.8593419830157172
360,14.4,1.8504736267112685
361,14.44,1.8540826287826122
362,14.48,1.8517142907415618
363,14.52,1.8462714269630944
364,14.56,1.8472126816479146
365,14.6,1.8525677154870053
366,14.64,1.8503236888313952
367,14.68,1.8495185125402165
368,14.72,1.853180392446485
369,14.76,1.852245301332331
370,14.8,1.8583580487798332
371,14.84,1.8518227344079303
372,14.88,1.849974216983175
373,14.92,1.8523178163729253
374,14.96,1.854032598528578
375,15.0,1.8464785344727694
376,15.040000000000001,1.8567896161673492
377,15.08,1.856555863866202
378,15.120000000000001,1.8501458754687174
379,15.16,1.8497127907064002
380,15.200000000000001,1.8449232370514606
381,15.24,1.8495597669410526
382,15.280000000000001,1.8527251352880756
383,15.32,1.8529608888992462
384,15.36,1.8510731498075734
385,15.4,1.8520954857063674
386,15.44,1.8463042322339607
387,15.48,1.8484300974183412
388,15.52,1.8474769271872036
389,15.56,1.845613923708313
390,15.6,1.844043396877822
391,15.64,1.853311898084043
392,15.68,1.8480433251950266
393,15.72,1.8534524167185988
394,15.76,1.84841061417351
395,15.8,1.8539232103006176
396,15.84,1.8598037850296314
397,15.88,1.8541898762416098
398,15.92,1.8571427819933812
399,15.96,1.8545813980890606
400,16.0,1.8570982289795854
401,16.04,1.8577707753663462
402,16.080000000000002,1.859995508337451
403,16.12,1.8545959903653468
404,16.16,1.8470111730242436
405,16.2,1.8550003609370969
406,16.240000000000002,1.8491138139205632
407,16.28,1.8554732551485382
408,16.32,1.8493262190185578
409,16.36,1.8587152406928886
410,16.4,1.8560563327890522
411,16.44,1.849633662469005
412,16.48,1.851167331063254
413,16.52,1.8519258499124798
414,16.56,1.8546348398285368
415,16.6,1.8546124410677445
416,16.64,1.8515689660876276
417,16.68,1.8534721177666988
418,16.72,1.8558070349739921
419,16.76,1.8525062442995166
420,16.8,1.8519555095915652
421,16.84,1.8513619086752031
422,16.88,1.8595209322594735
423,16.92,1.854110629781006
424,16.96,1.8551246921309414
425,17.0,1.8566957516659857
426,17.04,1.8642527275478258
427,17.080000000000002,1.860279267165966
428,17.12,1.8547382737655675
429,17.16,1.8496894648283113
430,17.2,1.858520043302961
431,17.240000000000002,1.8541559725974188
432,17.28,1.8560069223846125
433,17.32,1.8524330930764465
434,17.36,1.854150684991495
435,17.400000000000002,1.8527886820438704
436,17.44,1.8545201008763879
437,17.48,1.8632242998434536
438,17.52,1.8548958224097634
439,17.56,1.861427212219679
440,17.6,1.8546966870836075
441,17.64,1.8569655313885107
442,17.68,1.8604182223352734
443,17.72,1.860986538873263
444,17.76,1.8575976354689367
445,17.8,1.8481205840398363
446,17.84,1.8521414012850106
447,17.88,1.850927182914466
448,17.92,1.8560524301241905
449,17.96,1.857685029855657
450,18.0,1.8604719128813145
451,18.04,1.8592292844257312
452,18.080000000000002,1.849610009333254
453,18.12,1.8566633063565618
454,18.16,1.857589871758036
455,18.2,1.856552723541603
456,18.240000000000002,1.8503432198087606
457,18.28,1.855282377822296
458,18.32,1.8539467199033448
459,18.36,1.858529762131567
460,18.400000000000002,1.8533955061838998
461,18.44,1.855489460843683
462,18.48,1.8618690387336492
463,18.52,1.8563377010697408
464,18.56,1.8572325719603349
465,18.6,1.8559893934243916
466,18.64,1.8566373617788205
467,18.68,1.8585251778977507
468,18.72,1.861367477640978
469,18.76,1.8562235842575572
470,18.8,1.8529257192608606
471,18.84,1.8574573883974665
472,18.88,1.851793617814795
473,18.92,1.8549379958069891
474,18.96,1.8550125383256515
475,19.0,1.8637487505283867
476,19.04,1.8625551298136098
477,19.080000000000002,1.8474214849276953
478,19.12,1.8562006627389185
479,19.16,1.8539494553421734
480,19.2,1.8535646680501199
481,19.240000000000002,1.8538274330906224
482,19.28,1.8497185422795615
