frame,time_ns,n_hydrogen_bonds
0,0.0,214
1,0.04,213
2,0.08,203
3,0.12,208
4,0.16,211
5,0.2,210
6,0.24,204
7,0.28,210
8,0.32,200
9,0.36,200
10,0.4,206
11,0.44,210
12,0.48,201
13,0.52,195
14,0.56,199
15,0.6,212
16,0.64,197
17,0.68,198
18,0.72,195
19,0.76,205
20,0.8,212
21,0.84,207
22,0.88,207
23,0.92,197
24,0.96,203
25,1.0,196
26,1.04,187
27,1.08,216
28,1.12,202
29,1.16,204
30,1.2,206
31,1.24,207
32,1.28,210
33,1.32,222
34,1.36,220
35,1.4000000000000001,212
36,1.44,205
37,1.48,210
38,1.52,217
39,1.56,211
40,1.6,199
41,1.6400000000000001,224
42,1.68,209
43,1.72,214
44,1.76,207
45,1.8,205
46,1.84,214
47,1.8800000000000001,212
48,1.92,216
49,1.96,210
50,2.0,211
51,2.04,200
52,2.08,196
53,2.12,205
54,2.16,199
55,2.2,205
56,2.24,210
57,2.2800000000000002,196
58,2.32,209
59,2.36,203
60,2.4,205
61,2.44,201
62,2.48,201
63,2.52,218
64,2.56,207
65,2.6,219
66,2.64,215
67,2.68,202
68,2.72,215
69,2.7600000000000002,215
70,2.8000000000000003,198
71,2.84,206
72,2.88,209
73,2.92,203
74,2.96,199
75,3.0,204
76,3.04,214
77,3.08,211
78,3.12,204
79,3.16,204
80,3.2,201
81,3.24,204
82,3.2800000000000002,204
83,3.3200000000000003,216
84,3.36,211
85,3.4,208
86,3.44,204
87,3.48,185
88,3.52,204
89,3.56,202
90,3.6,192
91,3.64,190
92,3.68,199
93,3.72,199
94,3.7600000000000002,191
95,3.8000000000000003,208
96,3.84,189
97,3.88,211
98,3.92,215
99,3.96,199
100,4.0,198
101,4.04,205
102,4.08,209
103,4.12,216
104,4.16,204
105,4.2,208
106,4.24,203
107,4.28,215
108,4.32,201
109,4.36,205
110,4.4,214
111,4.44,201
112,4.48,210
113,4.5200000000000005,214
114,4.5600000000000005,211
115,4.6000000000000005,203
116,4.64,208
117,4.68,209
118,4.72,202
119,4.76,201
120,4.8,194
121,4.84,205
122,4.88,210
123,4.92,195
124,4.96,202
125,5.0,208
126,5.04,205
127,5.08,214
128,5.12,206
129,5.16,211
130,5.2,206
131,5.24,209
132,5.28,198
133,5.32,199
134,5.36,211
135,5.4,203
136,5.44,210
137,5.48,206
138,5.5200000000000005,208
139,5.5600000000000005,209
140,5.6000000000000005,220
141,5.64,212
142,5.68,197
143,5.72,211
144,5.76,205
145,5.8,213
146,5.84,207
147,5.88,199
148,5.92,208
149,5.96,206
150,6.0,204
151,6.04,207
152,6.08,221
153,6.12,200
154,6.16,187
155,6.2,206
156,6.24,194
157,6.28,188
158,6.32,200
159,6.36,207
160,6.4,188
161,6.44,202
162,6.48,204
163,6.5200000000000005,203
164,6.5600000000000005,209
165,6.6000000000000005,196
166,6.640000000000001,202
167,6.68,195
168,6.72,194
169,6.76,201
170,6.8,194
171,6.84,204
172,6.88,205
173,6.92,195
174,6.96,200
175,7.0,204
176,7.04,202
177,7.08,207
178,7.12,212
179,7.16,223
180,7.2,210
181,7.24,204
182,7.28,205
183,7.32,217
184,7.36,208
185,7.4,209
186,7.44,209
187,7.48,199
188,7.5200000000000005,209
189,7.5600000000000005,207
190,7.6000000000000005,207
191,7.640000000000001,205
192,7.68,206
193,7.72,215
194,7.76,197
195,7.8,215
196,7.84,202
197,7.88,187
198,7.92,197
199,7.96,212
200,8.0,208
201,8.040000000000001,187
202,8.08,201
203,8.120000000000001,194
204,8.16,205
205,8.2,208
206,8.24,198
207,8.28,194
208,8.32,195
209,8.36,209
210,8.4,212
211,8.44,197
212,8.48,194
213,8.52,199
214,8.56,197
215,8.6,196
216,8.64,202
217,8.68,197
218,8.72,201
219,8.76,206
220,8.8,204
221,8.84,209
222,8.88,199
223,8.92,204
224,8.96,206
225,9.0,205
226,9.040000000000001,195
227,9.08,194
228,9.120000000000001,213
229,9.16,202
230,9.200000000000001,200
231,9.24,200
232,9.28,198
233,9.32,210
234,9.36,190
235,9.4,194
236,9.44,212
237,9.48,191
238,9.52,195
239,9.56,200
240,9.6,200
241,9.64,189
242,9.68,198
243,9.72,206
244,9.76,190
245,9.8,202
246,9.84,196
247,9.88,195
248,9.92,207
249,9.96,201
250,10.0,195
251,10.040000000000001,189
252,10.08,202
253,10.120000000000001,185
254,10.16,207
255,10.200000000000001,188
256,10.24,185
